=== Class Histogram (HotSpot DiagnosticCommand) ===
Platform  : JDK=17 vendor=Oracle Corporation vm=Java HotSpot(TM) 64-Bit Server VM pid=52983 graalNative=false j9=false
Process   : 52983@kr15py
Time      : Wed Sep 16 11:29:41 AEST 2026

 num     #instances         #bytes  class name (module)
 133:            28            896  java.util.Locale (java.base@17.0.15)
 134:            37            888  java.lang.management.ManagementPermission (java.management@17.0.15)
 135:             2            880  [Lcom.sun.tools.javac.tree.JCTree$Tag; (jdk.compiler@17.0.15)
 136:             6            864  [Ljava.lang.invoke.MemberName; (java.base@17.0.15)
 137:            53            848  sun.reflect.generics.tree.ClassTypeSignature (java.base@17.0.15)
 138:             4            832  [Z (java.base@17.0.15)
 139:            34            816  java.util.ImmutableCollections$ListN (java.base@17.0.15)
 140:            25            800  com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference (java.management@17.0.15)
 141:            25            800  com.sun.tools.javac.code.TypeTag (jdk.compiler@17.0.15)
 142:            20            800  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
 143:            14            784  javax.management.openmbean.OpenMBeanParameterInfoSupport (java.management@17.0.15)
 144:            32            768  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping (java.management@17.0.15)
 145:            16            760  [Ljava.lang.reflect.Field; (java.base@17.0.15)
 146:            23            736  com.sun.tools.javac.code.TargetType (jdk.compiler@17.0.15)
 147:            46            736  java.lang.ref.ReferenceQueue$Lock (java.base@17.0.15)
 148:            46            736  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@17.0.15)
 149:            13            728  javax.management.openmbean.CompositeType (java.management@17.0.15)
 150:             2            720  [Ljava.time.LocalDateTime; (java.base@17.0.15)
 151:            18            720  com.sun.tools.javac.code.Kinds$Kind (jdk.compiler@17.0.15)
 152:            30            720  java.lang.NamedPackage (java.base@17.0.15)
 153:            10            720  java.util.ResourceBundle$CacheKey (java.base@17.0.15)
 154:            18            720  sun.reflect.generics.repository.MethodRepository (java.base@17.0.15)
 155:             2            704  [Lcom.sun.tools.javac.main.Option; (jdk.compiler@17.0.15)
 156:            28            672  java.util.jar.Attributes$Name (java.base@17.0.15)
 157:            30            664  [Ljava.lang.reflect.Type; (java.base@17.0.15)
 158:            27            648  java.util.Collections$SingletonList (java.base@17.0.15)
 159:            21            640  [Ljava.io.ObjectStreamField; (java.base@17.0.15)
 160:            16            640  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@17.0.15)
 161:            16            640  java.security.AccessControlContext (java.base@17.0.15)
 162:            20            640  java.util.ResourceBundle$KeyElementReference (java.base@17.0.15)
 163:             3            624  [Ljava.lang.invoke.LambdaForm; (java.base@17.0.15)
 164:            26            624  com.sun.jmx.mbeanserver.NamedObject (java.management@17.0.15)
 165:            26            624  java.time.LocalTime (java.base@17.0.15)
 166:             9            576  java.nio.DirectByteBuffer (java.base@17.0.15)
 167:            18            576  sun.reflect.generics.tree.MethodTypeSignature (java.base@17.0.15)
 168:            14            560  java.security.ProtectionDomain (java.base@17.0.15)
 169:             7            560  java.util.concurrent.TimeUnit (java.base@17.0.15)
 170:            14            560  javax.management.openmbean.SimpleType (java.management@17.0.15)
 171:            10            560  sun.invoke.util.Wrapper (java.base@17.0.15)
 172:            17            544  com.sun.tools.javac.jvm.Target (jdk.compiler@17.0.15)
 173:             1            528  [Ljava.lang.Character; (java.base@17.0.15)
 174:            11            528  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping (java.management@17.0.15)
 175:            22            528  java.lang.Class$AnnotationData (java.base@17.0.15)
 176:            22            528  java.lang.invoke.Invokers (java.base@17.0.15)
 177:            11            528  java.util.logging.LogManager$LoggerWeakRef (java.logging@17.0.15)
 178:            22            528  javax.lang.model.type.TypeKind (java.compiler@17.0.15)
 179:            13            520  com.sun.jmx.mbeanserver.PerInterface (java.management@17.0.15)
 180:            16            512  java.time.temporal.ChronoUnit (java.base@17.0.15)
 181:            21            504  javax.lang.model.element.ElementKind (java.compiler@17.0.15)
 182:             7            496  [Lsun.invoke.util.Wrapper; (java.base@17.0.15)
 183:            15            480  java.net.InetAddress$InetAddressHolder (java.base@17.0.15)
 184:            12            480  java.security.CodeSource (java.base@17.0.15)
 185:            20            480  sun.reflect.generics.factory.CoreReflectionFactory (java.base@17.0.15)
 186:             1            472  [Lcom.sun.tools.javac.parser.Tokens$TokenKind; (jdk.compiler@17.0.15)
